input,Task Priority,Task Complexity,Required Skills,Deadline,NTS_skills,importance
"Develop an interactive dashboard using Power BI and ETL to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the JIRA and Performance Optimization teams to finalize metrics.
The project is due by sales.",low,4,"Power BI, ETL, JIRA, Performance Optimization",11/19/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with PyTorch and CSS, integrating campaign data from SEO.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the CRM team regularly. Complete this by engineering.",high,5,"PyTorch, CSS, SEO, CRM",11/15/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 1, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using CSS and SQL to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the AWS and Excel teams. Target completion date: sales.",high,3,"CSS, SQL, AWS, Excel",12/13/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 1, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Django and DevOps to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the MongoDB and SQL teams. Target completion date: engineering.",medium,8,"Django, DevOps, MongoDB, SQL",11/19/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Python and Figma to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Django and Performance Optimization teams. Target completion date: engineering.",low,5,"Python, Figma, Django, Performance Optimization",11/22/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 1, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Design and deploy a machine learning model using Problem Solving and Business Intelligence to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the PyTorch and SQL teams. Target completion date: engineering.",high,9,"Problem Solving, Business Intelligence, PyTorch, SQL",12/6/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 3}"
"Refactor an existing codebase built with Collaboration to optimize performance and scalability.
Work will include integrating with Excel and updating deployment using SEO.
Coordinate with stakeholders in the Git department. Deadline: product.",medium,9,"Collaboration, Excel, SEO, Git",12/5/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 1}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with SQL to optimize performance and scalability.
Work will include integrating with Python and updating deployment using Azure.
Coordinate with stakeholders in the Node.js department. Deadline: HR.",medium,6,"SQL, Python, Azure, Node.js",12/3/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Project Management, integrated with Communication for authentication and MongoDB for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Testing team. Final submission expected by sales.",medium,7,"Project Management, Communication, MongoDB, Testing",11/25/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 1, ""ownership"": 3, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Docker and Collaboration to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the MongoDB and Figma teams to finalize metrics.
The project is due by legal.",high,5,"Docker, Collaboration, MongoDB, Figma",11/19/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Build an internal web app using Debugging, integrated with Docker for authentication and GraphQL for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the TypeScript team. Final submission expected by marketing.",medium,6,"Debugging, Docker, GraphQL, TypeScript",12/5/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using JIRA and Excel to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Testing and Cloud Computing teams. Target completion date: BI.",medium,8,"JIRA, Excel, Testing, Cloud Computing",11/24/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 4, ""collaboration"": 2, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Design and deploy a machine learning model using Azure and GraphQL to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the AWS and Problem Solving teams. Target completion date: product.",medium,7,"Azure, GraphQL, AWS, Problem Solving",11/17/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 1, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 5, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Design and deploy a machine learning model using UI/UX Design and REST APIs to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the HTML and Marketing teams. Target completion date: marketing.",high,9,"UI/UX Design, REST APIs, HTML, Marketing",12/3/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 2, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with MongoDB to optimize performance and scalability.
Work will include integrating with Pandas and updating deployment using Leadership.
Coordinate with stakeholders in the TypeScript department. Deadline: design.",medium,9,"MongoDB, Pandas, Leadership, TypeScript",12/4/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Develop an interactive dashboard using HTML and Kubernetes to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the NLP and Machine Learning teams to finalize metrics.
The project is due by marketing.",medium,3,"HTML, Kubernetes, NLP, Machine Learning",11/12/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with Leadership to optimize performance and scalability.
Work will include integrating with Problem Solving and updating deployment using Kubernetes.
Coordinate with stakeholders in the PyTorch department. Deadline: product.",low,8,"Leadership, Problem Solving, Kubernetes, PyTorch",11/14/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 3, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using SQL and UI/UX Design to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Flask and React teams. Target completion date: product.",medium,3,"SQL, UI/UX Design, Flask, React",12/2/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 2}"
"Refactor an existing codebase built with NumPy to optimize performance and scalability.
Work will include integrating with Excel and updating deployment using JIRA.
Coordinate with stakeholders in the PyTorch department. Deadline: design.",medium,4,"NumPy, Excel, JIRA, PyTorch",11/16/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 5, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with Node.js to optimize performance and scalability.
Work will include integrating with PyTorch and updating deployment using AWS.
Coordinate with stakeholders in the Python department. Deadline: marketing.",high,6,"Node.js, PyTorch, AWS, Python",12/2/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with SEO and MongoDB, integrating campaign data from DevOps.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the GraphQL team regularly. Complete this by marketing.",high,3,"SEO, MongoDB, DevOps, GraphQL",11/21/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 4, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with FastAPI to optimize performance and scalability.
Work will include integrating with NumPy and updating deployment using Big Data.
Coordinate with stakeholders in the Agile department. Deadline: sales.",high,6,"FastAPI, NumPy, Big Data, Agile",11/11/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 4, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Performance Optimization and NumPy to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Data Analysis and Cloud Computing teams. Target completion date: HR.",low,7,"Performance Optimization, NumPy, Data Analysis, Cloud Computing",11/25/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 1, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 1, ""stakeholder_mgmt"": 2}"
"Develop a marketing analytics solution with Communication and TypeScript, integrating campaign data from Testing.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Machine Learning team regularly. Complete this by legal.",medium,4,"Communication, TypeScript, Testing, Machine Learning",11/10/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 2, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 2, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using NumPy and CRM to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the AWS and Machine Learning teams. Target completion date: product.",medium,5,"NumPy, CRM, AWS, Machine Learning",11/24/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Build an internal web app using Git, integrated with Business Intelligence for authentication and Performance Optimization for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the CRM team. Final submission expected by BI.",medium,7,"Git, Business Intelligence, Performance Optimization, CRM",11/20/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 2, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}"
"Develop a marketing analytics solution with Business Intelligence and Figma, integrating campaign data from REST APIs.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the NLP team regularly. Complete this by HR.",medium,6,"Business Intelligence, Figma, REST APIs, NLP",11/26/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 1, ""ownership"": 4, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 5}"
"Build an internal web app using Communication, integrated with Flask for authentication and CSS for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Kubernetes team. Final submission expected by marketing.",medium,4,"Communication, Flask, CSS, Kubernetes",11/23/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 1, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 1, ""communication"": 3, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with Figma and Testing, integrating campaign data from NLP.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the FastAPI team regularly. Complete this by BI.",medium,6,"Figma, Testing, NLP, FastAPI",12/1/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 2, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 2, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using NumPy and REST APIs to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Kubernetes and CI/CD teams to finalize metrics.
The project is due by product.",medium,7,"NumPy, REST APIs, Kubernetes, CI/CD",12/16/2025 17:00,"{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 3, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
